property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,description,price_per_sqft,price,row_id,row_num,sqft_numeric,sale_price,price_per_sqft_numeric
"  Shop for Sale in Rustampura Surat","Super Area","250 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,"Commercial Shop is located at the advantageous Ground floor in a tower of total 4 floors. FLRADVThe Commercial Shop construction is above 20 years.Read more","₹20,000 per sqft ","₹50 Lac ",235,1,250.00,5000000,20000
"  Shop for Sale in Sachin Surat","Carpet Area","200 sqft",Resale,"Ready to Move","Ground out of 1",NULL,NULL,"Commercial shop is available for sale.","₹15,000 per sqft ","₹30 Lac ",501,1,200.00,3000000,15000
"  Shop for Sale in Sagrampura Surat","Carpet Area","100 sqft",Resale,"Ready to Move","Ground out of 1",NULL,NULL,"Commercial shop is available for sale. It is a good location property. Please contact for more details.Read more","₹35,000 per sqft ","₹35 Lac ",706,1,100.00,3500000,35000
"  Shop for Sale in Sagrampura Surat","Carpet Area","150 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,"150 sq ft shop near to udhna darwaja on Sagrampura Main Road at shree laxmi complexRead more","₹16,667 per sqft ","₹25 Lac ",373,1,150.00,2500000,16667
"  Shop for Sale in Sai Luxuria, Kosad Surat","Carpet Area","300 sqft",Resale,"Ready to Move","Ground out of 11",NULL,NULL,NULL,"₹7,692 per sqft ","₹25 Lac ",816,1,300.00,2500000,7692
"  Shop for Sale in Saroli Surat","Carpet Area","1304 sqft",Resale,"Ready to Move","4 out of 9",NULL,NULL,NULL,"₹5,001 per sqft ","₹65.2 Lac ",1635,1,1304.00,6520000,5001
"  Shop for Sale in Sayan Surat","Carpet Area","195 sqft",Resale,"Ready to Move","Ground out of 5",NULL,NULL,NULL,"₹4,416 per sqft ","₹17 Lac ",158,1,195.00,1700000,4416
"  Shop for Sale in Shivalik, Dabholi Surat","Carpet Area","1423 sqft",Resale,"Ready to Move","1 out of 4",NULL,NULL,"pre occupied, will give you rent as soon as you buy it","₹9,136 per sqft ","₹1.30 Cr ",3079,1,1423.00,13000000,9136
"  Shop for Sale in Shivalik, Dabholi Surat","Super Area","1423 sqft",Resale,"Ready to Move","1 out of 3",NULL,NULL,NULL,"₹10,541 per sqft ","₹1.50 Cr ",3285,1,1423.00,15000000,10541
"  Shop for Sale in Shivam Elephanta Business Hub, Katargam Surat","Super Area","455 sqft",Resale,"Ready to Move","1 out of 8",NULL,NULL,"Commercial shop is available for sale. It is a good location property. Please contact for more details.Read more","₹8,791 per sqft ","₹40 Lac ",610,1,455.00,4000000,8791
"  Shop for Sale in Shree Speranza Business Hub, Pal Gam Surat","Carpet Area","316 sqft",Resale,"Ready to Move","Ground out of 5",NULL,NULL,"Main road Facing shop::::The big space available in front of the shop::::any business purpose useRead more","₹16,588 per sqft ","₹1.05 Cr ",3672,1,316.00,10500000,16588
"  Shop for Sale in Singanpor Surat","Carpet Area","130 sqft",Resale,"Ready to Move","Ground out of 3",NULL,NULL,"Commercial shop is available for sale. It is a good location property. Please contact for more details.Read more","₹26,923 per sqft ","₹35 Lac ",148,1,130.00,3500000,26923
"  Shop for Sale in Soni Falia Surat","Carpet Area","400 sqft",Resale,"Ready to Move","Upper Basement out of 5",NULL,NULL,NULL,"₹6,250 per sqft ","₹25 Lac ",376,1,400.00,2500000,6250
"  Shop for Sale in Surat","Carpet Area","145 sqft",Resale,"Ready to Move","Ground out of 5",NULL,NULL,"Commercial shop is available for sale.","₹7,500 per sqft ","₹21 Lac ",120,1,145.00,2100000,7500
"  Shop for Sale in Surat City Surat","Carpet Area","240 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,"ground floor shop for sale in palanpore canal road, adajan","₹12,708 per sqft ","₹61 Lac ",1479,1,240.00,6100000,12708
"  Shop for Sale in Surat City Surat","Super Area","100 sqft",Resale,"Ready to Move","Lower Basement out of 2",NULL,NULL,"  Commercial Shop is available for Sale in Surat City, Surat for 20.0 Lac(s)Read more","₹20,000 per sqft ","₹20 Lac ",115,1,100.00,2000000,20000
"  Shop for Sale in Surat Surat","Carpet Area","238 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,NULL,"₹16,807 per sqft ","₹40 Lac ",286,1,238.00,4000000,16807
"  Shop for Sale in Surat Surat","Super Area","230 sqft",Resale,"Ready to Move","1 out of 4",NULL,NULL,NULL,"₹7,391 per sqft ","₹17 Lac ",761,1,230.00,1700000,7391
"  Shop for Sale in Surat Textile Market Surat","Carpet Area","165 sqft",Resale,"Ready to Move","2 out of 5",NULL,NULL,"  Commercial Shop is available for Sale in Surat Textile Market, Surat for 95.0 Lac(s)Read more","₹47,500 per sqft ","₹95 Lac ",1580,1,165.00,9500000,47500
"  Shop for Sale in Surat Textile Market Surat","Super Area","170 sqft",Resale,"Ready to Move","Ground out of 13",NULL,NULL,NULL,"₹88,235 per sqft ","₹1.50 Cr ",3733,1,170.00,15000000,88235
"  Shop for Sale in Surat Textile Market Surat","Super Area","170 sqft",Resale,"Ready to Move","Ground out of 13",NULL,NULL,"  Commercial Shop is available for Sale in Surat Textile Market, Surat for 1.5 Crore(s)Read more","₹88,235 per sqft ","₹1.50 Cr ",3153,1,170.00,15000000,88235
"  Shop for Sale in Surya Plaza, Bhatar Surat","Super Area","750 sqft",Resale,"Ready to Move","Ground out of 2",NULL,NULL,NULL,"₹22,800 per sqft ","₹1.71 Cr ",3775,1,750.00,17100000,22800
"  Shop for Sale in The Galleria, Pal Surat","Carpet Area","185 sqft",Resale,"Ready to Move","1 out of 5",NULL,NULL,"Commercial shop is available for sale. It covered area of 370 sq-ft, it is a good location property. Please contact for moredetails.Read more","₹10,811 per sqft ","₹40 Lac ",389,1,185.00,4000000,10811
"  Shop for Sale in the white house Surat","Super Area","1808 sqft",Resale,"Ready to Move","1 out of 4",NULL,NULL,"  Commercial Shop is available for Sale in , Surat for 2.2 Crore(s)Read more","₹12,445 per sqft ","₹2.25 Cr ",3698,1,1808.00,22500000,12445
"  Shop for Sale in Trikamnagar 1 Surat","Super Area","160 sqft",Resale,"Ready to Move","1 out of 5",NULL,NULL,NULL,"₹15,000 per sqft ","₹24 Lac ",593,1,160.00,2400000,15000
"  Shop for Sale in Udhna Surat","Carpet Area","615 sqft",Resale,"Ready to Move","Lower Basement out of 4",NULL,NULL,NULL,"₹5,691 per sqft ","₹35 Lac ",554,1,615.00,3500000,5691
"  Shop for Sale in Udhna Surat","Super Area","420 sqft",Resale,"Ready to Move","Ground out of 3",NULL,NULL,NULL,"₹6,667 per sqft ","₹28 Lac ",846,1,420.00,2800000,6667
"  Shop for Sale in Uttran Surat","Super Area","500 sqft",Resale,"Ready to Move","Ground out of 5",NULL,NULL,NULL,"₹6,400 per sqft ","₹32 Lac ",169,1,500.00,3200000,6400
"  Shop for Sale in Vaibhavlaxmi Shopping Mall, Bhestan Surat","Carpet Area","200 sqft",Resale,"Ready to Move","1 out of 4",NULL,NULL,NULL,"₹20,000 per sqft ","₹40 Lac ",477,1,200.00,4000000,20000
"  Shop for Sale in Varacha Surat","Super Area","261 sqft",Resale,"Ready to Move","3 out of 4",NULL,NULL,"  Commercial Shop is available for Sale in Varacha, Surat for 17.0 Lac(s)Read more","₹6,513 per sqft ","₹17 Lac ",220,1,261.00,1700000,6513
"  Shop for Sale in Varachha Main Road Surat","Super Area","1000 sqft",Resale,"Ready to Move","Ground out of 3",NULL,NULL,NULL,"₹22,000 per sqft ","₹2.20 Cr ",3777,1,1000.00,22000000,22000
"  Shop for Sale in Varachha Surat","Carpet Area","30 sqm",Resale,"Ready to Move","Ground out of 3",NULL,NULL,"pre lease ground floor shop for sale, Very good and well maintain complexRead more","₹10,174 per sqft ","₹35 Lac ",804,1,322.92,3500000,10174
"  Shop for Sale in Varachha Surat","Super Area","200 sqft",Resale,"Ready to Move","2 out of 3",NULL,NULL,NULL,"₹10,000 per sqft ","₹20 Lac ",181,1,200.00,2000000,10000
"  Shop for Sale in Vesu Canal Road Surat","Carpet Area","790 sqft","New Property","Poss. by Dec '24","Ground out of 19",NULL,NULL,"ROONGTA ESTELLA, THE A CLASS SHOPPING ONLY GROUND FLOOR, WITH FULL RESIDENTIAL COMPLEX WITH PREMIUM 4 BHK 19 STORY BUILDING, is situated on citylight to vesu and canal road  corner, a prime location  residential project with shops, and Ground, 1st, and 2 nd floors,total 3 floors loaded with amenities. A perfect place for a happy family living, and all ameneties included.Read more","₹21,000 per sqft ","₹3.31 Cr ",4179,1,790.00,33100000,21000
"  Shop for Sale in Vesu Surat","Carpet Area","200 sqft",Resale,"Ready to Move","Ground out of 6",NULL,NULL,"cheap rate in location","₹10,101 per sqft ","₹40 Lac ",1444,1,200.00,4000000,10101
"  Shop for Sale in Vesu Surat","Super Area","400 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,NULL,"₹10,500 per sqft ","₹42 Lac ",932,1,400.00,4200000,10500
"  Shop for Sale in Vesu Surat","Super Area","440 sqft",Resale,"Ready to Move","Ground out of 3",NULL,NULL,"Experience the allure of entrepreneurship with this Commercial Shop For Sale in the bustling area of Vesu, Surat. Positioned in a prime location, this shop presents an excellent opportunity for investment or to establish your business in a vibrant and thriving commercial hub. Don't miss out on the chance to own a piece of the action in Vesu, Surat.Property SpecificationsSituated on the ground floor, this commercial shop in Vesu, Surat, offers a prime space for various business endeavours. With its ceiling done and side walls adorned with stylish wallpaper, the shop exudes a professional and inviting ambiance, ready to welcome customers.The complex boasts power backup for common lights, ensuring uninterrupted operation even during power outages. Additionally, both open and basement parking facilities are available, accommodating both two-wheelers and cars, providing convenience for customers and employees alike. Security measures are in place with the presence of security personnel and CCTV surveillance in the complex, ensuring the safety of the premises and its occupants.LocalityIn terms of locality, the complex offers a range of amenities to cater to diverse needs. An ATM is conveniently located within the complex, providing easy access to banking services. Moreover, several banks including SBI, ICICI Bank, Bank of Baroda, and others are situated within a 1-kilometer radius, offering comprehensive banking facilities.For healthcare needs, a private hospital is situated in the adjacent commercial complex, providing convenient access to medical services for both customers and employees. This commercial shop in Vesu, Surat, presents an attractive opportunity for businesses to thrive in a well-equipped and strategically located environment.Read more","₹15,023 per sqft ","₹66.1 Lac ",1551,1,440.00,6610000,15023
"  Shop for Sale in Vesu Surat","Super Area","562 sqft",Resale,"Ready to Move","4 out of 9",NULL,NULL,NULL,"₹14,000 per sqft ","₹78.7 Lac ",1674,1,562.00,7870000,14000
"  Shop for Sale in Vesu Surat","Super Area","600 sqft",Resale,"Ready to Move","Ground out of 3",NULL,NULL,NULL,"₹10,000 per sqft ","₹60 Lac ",2027,1,600.00,6000000,10000
"  Shop for Sale in VIP Road Surat","Carpet Area","180 sqft",Resale,"Ready to Move","Ground out of 6",NULL,NULL,"ground floor shop, new modern complex, cabinet work and electricity work completedRead more","₹12,500 per sqft ","₹45 Lac ",130,1,180.00,4500000,12500
"  Shop for Sale in VIP Road Surat","Carpet Area","550 sqft",Resale,"Ready to Move","1 out of 4",NULL,NULL,"Its rented property,Rent with Samsung mobile service center agreement with 3 year and 5percentage rent increase per yearRead more","₹5,385 per sqft ","₹35 Lac ",801,1,550.00,3500000,5385
"  Shop for Sale in VIP Road Surat","Super Area","3500 sqft",Resale,"Ready to Move","2 out of 7",NULL,NULL,"  Commercial Shop is available for Sale in VIP Road, Surat for 2.2 Crore(s)Read more","₹6,500 per sqft ","₹2.27 Cr ",3671,1,3500.00,22700000,6500
"  Shop for Sale in VIP Road Surat","Super Area","380 sqft",Resale,"Ready to Move","1 out of 5",NULL,NULL,NULL,"₹6,579 per sqft ","₹25 Lac ",142,1,380.00,2500000,6579
"  Shop for Sale in VIP Road Surat","Super Area","413 sqft",Resale,"Ready to Move","Ground out of 5",NULL,NULL,"Ground Floor Shop is available for Sale at Marvella Palladium. Best suited for Food, Small Businesses, Boutique and Fashion Garments.Read more","₹15,496 per sqft ","₹64 Lac ",2245,1,413.00,6400000,15496
"  Shop for Sale in VIP Road Surat","Super Area","537 sqft",Resale,"Ready to Move","1 out of 4",NULL,NULL,NULL,"₹11,173 per sqft ","₹60 Lac ",1686,1,537.00,6000000,11173
"  Shop for Sale in Vraj chowk SARTHANA raj impiriya Surat","Super Area","318 sqft",Resale,"Ready to Move","Ground out of 1",NULL,NULL,NULL,"₹11,006 per sqft ","₹35 Lac ",748,1,318.00,3500000,11006
"  Shop for Sale in Zenon, Ring Road Surat","Carpet Area","612 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,NULL,"₹16,340 per sqft ","₹2 Cr ",3823,1,612.00,20000000,16340
"  Showroom for Sale in Adajan Surat","Carpet Area","1333 sqft",Resale,"Ready to Move","1 out of 4",NULL,NULL,"  Commercial Showroom is available for Sale in Adajan, Surat for 1.6 Crore(s)Read more","₹12,003 per sqft ","₹1.60 Cr ",3598,1,1333.00,16000000,12003
"  Showroom for Sale in Adajan Surat","Carpet Area","2000 sqft","New Property","Poss. by May '25","Ground out of 13",NULL,NULL,NULL,"₹30,000 per sqft ","₹12 Cr ",4133,1,2000.00,120000000,30000
"  Showroom for Sale in Adajan Surat","Carpet Area","225 sqft",Resale,"Ready to Move","Ground out of 7",NULL,NULL,"Shop for sale ground floor road touch with 20 feet front space with full setup 1 thick shake machine, 2 deep freezer, 1. 5 ton a. C. , glass gate,outside folding chapra, marble counter,3 marble tables,18 chairs,2 shop name lightening board,cctv 4 pc with mobile router,2 fan,1 scrolling board,s. M. C water connection with 500ltr sintex tank, drainage connection available, p. O. P, 1 revolving chair etc. Shop income profit 60000 monthlyRead more","₹25,778 per sqft ","₹58 Lac ",2131,1,225.00,5800000,25778
"  Showroom for Sale in Althan Surat","Carpet Area","480 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,"showroom for sale at surats fastest growing vip high class area AlthanRead more","₹12,240 per sqft ","₹1 Cr ",1689,1,480.00,10000000,12240
"  Showroom for Sale in Athawa Lines Surat","Super Area","5800 sqft",Resale,"Ready to Move","Ground out of 1",NULL,NULL,"  Commercial Showroom is available for Sale in Athawa Lines, Surat for 6.9 Crore(s)Read more","₹12,009 per sqft ","₹6.96 Cr ",3685,1,5800.00,69600000,12009
"  Showroom for Sale in Bardoli Surat","Super Area","2150 sqft",Resale,"Ready to Move","1 out of 2",NULL,NULL,"  Commercial Showroom is available for Sale in Bardoli, Surat for 3.0 Crore(s)Read more","₹13,953 per sqft ","₹3 Cr ",3659,1,2150.00,30000000,13953
"  Showroom for Sale in Chauta Bazar Surat","Super Area","1000 sqft",Resale,"Ready to Move","1 out of 5",NULL,NULL,NULL,"₹3,500 per sqft ","₹35 Lac ",303,1,1000.00,3500000,3500
"  Showroom for Sale in Chauta Bazar Surat","Super Area","4000 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,"  Commercial Showroom is available for Sale in Chauta Bazar, Surat for 4.0 Crore(s)Read more","₹10,000 per sqft ","₹4 Cr ",3610,1,4000.00,40000000,10000
"  Showroom for Sale in DCR Gokul Solitaire, VIP Road Surat","Super Area","1374 sqft",Resale,"Ready to Move","2 out of 5",NULL,NULL,NULL,"₹10,917 per sqft ","₹1.50 Cr ",3176,1,1374.00,15000000,10917
"  Showroom for Sale in Kadodara Surat","Carpet Area","1400 sqft","New Property","Ready to Move","1 out of 2",NULL,NULL,"  Commercial Showroom is available for Sale in Kadodara, Surat for 1.2 Crore(s)Read more","₹8,929 per sqft ","₹1.25 Cr ",3179,1,1400.00,12500000,8929
"  Showroom for Sale in Lal Gate Surat","Carpet Area","350 sqft",Resale,"Ready to Move","Ground out of 3",NULL,NULL,"Commercial showroom is available for sale. It is a good location property. Please contact for more details.Read more","₹71,429 per sqft ","₹2.50 Cr ",4099,1,350.00,25000000,71429
"  Showroom for Sale in Mahidhar Pura Surat","Carpet Area","2200 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,"  Commercial Showroom is available for Sale in , Surat for 2.1 Crore(s)Read more","₹9,591 per sqft ","₹2.11 Cr ",3984,1,2200.00,21100000,9591
